periodo,atoyac_ha,guerrero_ha,atoyac_participacion_%
2001-2005,0.0,3085.1517467830877,0.0
2006-2010,0.0,4850.635470588235,0.0
2011-2015,284.880621875,6461.597073713235,4.408826774946056
2016-2020,712.2015546875,7410.173037775735,9.611132574864635
2021-2024,569.76124375,7852.43485928309,7.2558544446431466
